county_id,county_name,year,production_t,harvested_area_ha,active_yield_t_per_ha,label_method,reconciliation_status,source_vintage,source_snapshot_id,provisional,split,usable_for_modelling
kakamega,Kakamega,2012,217548.91,86329.0,2.52000162286,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kericho,Kericho,2012,114298.73,42982.0,2.65920711088,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kiambu,Kiambu,2012,80927.47,30970.0,2.61373845657,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kilifi,Kilifi,2012,34206.98,33064.0,1.03457052988,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kirinyaga,Kirinyaga,2012,47835.12,17728.0,2.69832806859,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kisii,Kisii,2012,99074.17,45046.0,2.19938818186,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kisumu,Kisumu,2012,38518.98,30203.0,1.27532364335,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kitui,Kitui,2012,37828.9,38420.0,0.984619468,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kwale,Kwale,2012,10963.48,14066.0,0.779441205744,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
laikipia,Laikipia,2012,89013.72,42155.0,2.11157490215,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
lamu,Lamu,2012,2838.03,3712.0,0.76455549569,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
machakos,Machakos,2012,93666.96,68125.0,1.37456102752,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
